model_a,model_b,metric,applicable_subset,observed_a_minus_b,ci_low,ci_high,p_value,significant_95,p_value_holm,significant_holm_05
glm_4_5v,qwen3_vl_8b,low_level_edit_accuracy,all_samples,0.08035121301200165,0.06190214517082872,0.10002373416964398,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,qwen3_vl_8b,high_level_score,all_samples,0.07198327326051632,0.055280465543458474,0.08928421523704054,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,qwen3_vl_8b,relation_conditioned_fidelity,relation_samples_only,0.029025082687457657,0.002443973116843131,0.05778583886787271,0.0331966803319668,True,0.20637936206379362,False
glm_4_5v,qwen3_vl_8b,relation_scope_accuracy,relation_samples_only,0.022504706171627795,-0.010225928040078089,0.05618858842159751,0.17378262173782622,False,0.8689131086891311,False
glm_4_5v,qwen3_vl_8b,relation_edge_consistency,relation_samples_only,0.03880564746120245,0.01295044977730293,0.06642370731203556,0.0021997800219978004,True,0.028597140285971406,True
glm_4_5v,qwen3_vl_8b,visual_structural_similarity,all_samples,0.028626418504913854,0.022073124560473764,0.035659980418241075,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,qwen3_vl_8b,preservation_accuracy,all_samples,0.27640246266881024,0.22853261649799908,0.32427282257097095,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,openrouter_gpt4_1,overall_score,all_samples,-0.01910614691658343,-0.0383173506613151,-0.00019585768182535534,0.0481951804819518,True,0.11278872112788721,False
openrouter_claude_sonnet_4_vertex,openrouter_gpt4_1,code_executability,all_samples,0.05704697986577181,0.006779661016949152,0.10714594661393964,0.030996900309969003,True,0.061993800619938005,False
openrouter_claude_sonnet_4_vertex,openrouter_gpt4_1,low_level_edit_accuracy,all_samples,0.0020663820609072106,-0.018230451243561496,0.02252590523631853,0.8519148085191481,False,1.0,False
openrouter_claude_sonnet_4_vertex,openrouter_gpt4_1,high_level_score,all_samples,-0.03566771715823746,-0.05575128510140336,-0.015939623974831695,0.00039996000399960006,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,openrouter_gpt4_1,relation_conditioned_fidelity,relation_samples_only,0.010973628894332071,-0.02682988026348482,0.04726903367558568,0.5725427457254274,False,1.0,False
openrouter_claude_sonnet_4_vertex,openrouter_gpt4_1,relation_scope_accuracy,relation_samples_only,0.01864780778415479,-0.02312452710784601,0.059083295314525344,0.37676232376762325,False,1.0,False
openrouter_claude_sonnet_4_vertex,openrouter_gpt4_1,relation_edge_consistency,relation_samples_only,-0.0005376394404019938,-0.035499693898448294,0.035289714015486945,0.9559044095590441,False,1.0,False
openrouter_claude_sonnet_4_vertex,openrouter_gpt4_1,visual_structural_similarity,all_samples,-0.029608387671936864,-0.04017436091252515,-0.019227019511873077,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,openrouter_gpt4_1,preservation_accuracy,all_samples,0.017568115398172404,-0.01831611836534079,0.0528975089808633,0.3331666833316668,False,0.3331666833316668,False
openrouter_claude_sonnet_4_vertex,openrouter_gpt5_4_none,overall_score,all_samples,-0.11013902431306441,-0.12947155850802589,-0.09135170042452427,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,openrouter_gpt5_4_none,code_executability,all_samples,-0.06040268456375839,-0.0958904109589041,-0.027303754266211604,0.0007999200079992001,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,openrouter_gpt5_4_none,low_level_edit_accuracy,all_samples,-0.0819515221466653,-0.10294583315419298,-0.061665797152553624,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,openrouter_gpt5_4_none,high_level_score,all_samples,-0.1318198099952314,-0.15194442665212904,-0.11195952612560857,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,openrouter_gpt5_4_none,relation_conditioned_fidelity,relation_samples_only,-0.0645544813483688,-0.09567026733277977,-0.03492666468138146,0.00039996000399960006,True,0.005999400059994001,True
openrouter_claude_sonnet_4_vertex,openrouter_gpt5_4_none,relation_scope_accuracy,relation_samples_only,-0.08113275941451226,-0.12047920147533203,-0.043837946620229565,0.00039996000399960006,True,0.005999400059994001,True
openrouter_claude_sonnet_4_vertex,openrouter_gpt5_4_none,relation_edge_consistency,relation_samples_only,-0.03968706424915361,-0.0665080852190641,-0.013236626520924775,0.004399560043995601,True,0.05279472052794721,False
openrouter_claude_sonnet_4_vertex,openrouter_gpt5_4_none,visual_structural_similarity,all_samples,-0.08076858990785961,-0.09361505838802896,-0.06806310027899831,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,openrouter_gpt5_4_none,preservation_accuracy,all_samples,-0.15225360375967106,-0.17849793303448336,-0.12812169870460854,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_5_122b_a10b,overall_score,all_samples,0.032513246334374184,0.013820987592720161,0.051407687085977156,0.0007999200079992001,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_5_122b_a10b,code_executability,all_samples,0.30201342281879195,0.24025653622693097,0.36454849498327757,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_5_122b_a10b,low_level_edit_accuracy,all_samples,0.04541447442739888,0.024901700622963287,0.06641547880058607,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_5_122b_a10b,high_level_score,all_samples,0.021900576141866822,0.003249006581893402,0.04074958996610231,0.0207979202079792,True,0.0623937606239376,False
openrouter_claude_sonnet_4_vertex,qwen3_5_122b_a10b,relation_conditioned_fidelity,relation_samples_only,0.03880016617908499,0.004637289921799732,0.0740791376994704,0.0263973602639736,True,0.20637936206379362,False
openrouter_claude_sonnet_4_vertex,qwen3_5_122b_a10b,relation_scope_accuracy,relation_samples_only,0.049187767771710626,0.00941332823268826,0.09007603836619357,0.015598440155984402,True,0.14038596140385962,False
openrouter_claude_sonnet_4_vertex,qwen3_5_122b_a10b,relation_edge_consistency,relation_samples_only,0.02321876379014653,-0.007992694279752131,0.055138218766162615,0.14878512148785122,False,0.8927107289271073,False
openrouter_claude_sonnet_4_vertex,qwen3_5_122b_a10b,visual_structural_similarity,all_samples,0.0010207560070061472,-0.0076025174883491715,0.009621557208347002,0.8221177882211779,False,1.0,False
openrouter_claude_sonnet_4_vertex,qwen3_5_122b_a10b,preservation_accuracy,all_samples,0.16862572661071748,0.12394912350226327,0.21475007085949757,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_32b,overall_score,all_samples,0.06341572166453077,0.045373535596520485,0.080928139896835,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_32b,code_executability,all_samples,0.3422818791946309,0.2809364548494983,0.40604284536271384,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_32b,low_level_edit_accuracy,all_samples,0.07244953320510154,0.052251500444219105,0.09254157777678676,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_32b,high_level_score,all_samples,0.05537394827066654,0.03761223036628893,0.07264771916119461,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_32b,relation_conditioned_fidelity,relation_samples_only,0.05652021002843265,0.02572351665479507,0.08778601581834548,0.00039996000399960006,True,0.005999400059994001,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_32b,relation_scope_accuracy,relation_samples_only,0.06541528778530664,0.030220054111046214,0.10049277401547949,0.0005999400059994001,True,0.007799220077992201,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_32b,relation_edge_consistency,relation_samples_only,0.0431775933931217,0.012277100817225611,0.07463999653101619,0.006199380061993801,True,0.06819318068193181,False
openrouter_claude_sonnet_4_vertex,qwen3_vl_32b,visual_structural_similarity,all_samples,0.017958271112984904,0.009259335408919156,0.026443837842519267,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_32b,preservation_accuracy,all_samples,0.2352814829688174,0.19242465620365315,0.27914783577901453,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_8b,overall_score,all_samples,0.12040026141194732,0.1018629854077533,0.13852452628696485,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_8b,code_executability,all_samples,0.5671140939597316,0.5016835016835017,0.6317567567567568,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_8b,low_level_edit_accuracy,all_samples,0.1265785000467052,0.10564211895618399,0.14769496305252597,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_8b,high_level_score,all_samples,0.11435227411162005,0.09657121038547165,0.1320526768358369,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_8b,relation_conditioned_fidelity,relation_samples_only,0.08795544809180969,0.05194864350222894,0.12278008154486163,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_8b,relation_scope_accuracy,relation_samples_only,0.09553654921045718,0.053272088068250636,0.13700376013584437,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_8b,relation_edge_consistency,relation_samples_only,0.07658379641383846,0.04635806631053252,0.10698438972112563,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_8b,visual_structural_similarity,all_samples,0.04410558640568687,0.03625312686616605,0.052436486827886854,0.00019998000199980003,True,0.004199580041995801,True
openrouter_claude_sonnet_4_vertex,qwen3_vl_8b,preservation_accuracy,all_samples,0.3941693900690367,0.35091687582991793,0.4362923853091953,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,openrouter_gpt5_4_none,overall_score,all_samples,-0.09103287739648099,-0.11412938849589077,-0.06818337132055187,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,openrouter_gpt5_4_none,code_executability,all_samples,-0.1174496644295302,-0.1610738255033557,-0.07516339869281045,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,openrouter_gpt5_4_none,low_level_edit_accuracy,all_samples,-0.0840179042075725,-0.10869120205462053,-0.059554061940301245,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,openrouter_gpt5_4_none,high_level_score,all_samples,-0.09615209283699394,-0.11911929187853115,-0.07345813241785977,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,openrouter_gpt5_4_none,relation_conditioned_fidelity,relation_samples_only,-0.0755281102427009,-0.12003903704796959,-0.031033818856916768,0.000999900009999,True,0.011998800119988001,True
openrouter_gpt4_1,openrouter_gpt5_4_none,relation_scope_accuracy,relation_samples_only,-0.09978056719866706,-0.15157626194405854,-0.049401227970114224,0.00039996000399960006,True,0.005999400059994001,True
openrouter_gpt4_1,openrouter_gpt5_4_none,relation_edge_consistency,relation_samples_only,-0.039149424808751616,-0.08262047958154828,0.0038421602374214396,0.07179282071792821,False,0.5025497450254974,False
openrouter_gpt4_1,openrouter_gpt5_4_none,visual_structural_similarity,all_samples,-0.051160202235922735,-0.06504783617599064,-0.03776712935252359,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,openrouter_gpt5_4_none,preservation_accuracy,all_samples,-0.16982171915784344,-0.20159200460001409,-0.13930523905938522,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_5_122b_a10b,overall_score,all_samples,0.05161939325095762,0.031868084672029395,0.07146673660087961,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_5_122b_a10b,code_executability,all_samples,0.24496644295302014,0.180600845410628,0.3110367892976589,0.00019998000199980003,True,0.004199580041995801,True
